Name,Description,Outlook Booked,WiFi Count,Tenant Complaint,Logic Action,Energy Reduction %,Hourly Savings SGD,Energy Saved kWh,Carbon Avoided Tonnes
West Wing - Slot 1,Unscheduled visitors occupying the space,True,26,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Hot Desk Area - Slot 2,Post-meeting cleanup period,False,0,False,Eco-Mode (No Booking),60,9.0,30.0,0.012
Open Plan - Slot 3,Unscheduled visitors occupying the space,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Executive Floor - Slot 4,Unscheduled visitors occupying the space,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Hot Desk Area - Slot 5,Team collaboration area with dynamic usage,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Cafeteria - Slot 6,Executive meeting in progress,True,58,False,Maintain Normal Comfort,0,0.0,0.0,0.0
East Wing - Slot 7,Meeting scheduled in calendar but attendees not present,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Conference Suite B - Slot 8,Regular working hours with standard occupancy,True,13,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Conference Suite A - Slot 9,Executive meeting in progress,True,12,False,Maintain Normal Comfort,0,0.0,0.0,0.0
South Wing - Slot 10,Regular working hours with standard occupancy,False,0,False,Eco-Mode (No Booking),60,9.0,30.0,0.012
Hot Desk Area - Slot 11,Off-peak hours with minimal activity,False,0,False,Eco-Mode (No Booking),60,9.0,30.0,0.012
Conference Suite A - Slot 12,Off-peak hours with minimal activity,True,26,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Cafeteria - Slot 13,Regular working hours with standard occupancy,False,74,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
Meeting Room 202 - Slot 14,Early morning setup before main occupancy,True,16,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Lobby Area - Slot 15,Training session with full capacity expected,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Training Center - Slot 16,Early morning setup before main occupancy,False,0,False,Eco-Mode (No Booking),60,9.0,30.0,0.012
Hot Desk Area - Slot 17,Training session with full capacity expected,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Central Hub - Slot 18,Post-meeting cleanup period,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Open Plan - Slot 19,Unscheduled visitors occupying the space,True,72,False,Maintain Normal Comfort,0,0.0,0.0,0.0
East Wing - Slot 20,Post-meeting cleanup period,True,30,False,Maintain Normal Comfort,0,0.0,0.0,0.0
North Wing - Slot 21,Regular working hours with standard occupancy,True,22,True,TENANT OVERRIDE -> Reverting to Max Comfort,0,0.0,0.0,0.0
West Wing - Slot 22,Early morning setup before main occupancy,True,28,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Meeting Room 101 - Slot 23,Early morning setup before main occupancy,True,8,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Training Center - Slot 24,Executive meeting in progress,False,21,True,TENANT OVERRIDE -> Reverting to Max Comfort,0,0.0,0.0,0.0
East Wing - Slot 25,Unscheduled visitors occupying the space,True,33,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Central Hub - Slot 26,Early morning setup before main occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Training Center - Slot 27,Early morning setup before main occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Conference Suite B - Slot 28,Off-peak hours with minimal activity,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
North Wing - Slot 29,Training session with full capacity expected,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
North Wing - Slot 30,Regular working hours with standard occupancy,True,20,True,TENANT OVERRIDE -> Reverting to Max Comfort,0,0.0,0.0,0.0
Central Hub - Slot 31,Post-meeting cleanup period,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
South Wing - Slot 32,Standard office space with scheduled occupancy,True,28,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Meeting Room 202 - Slot 33,Off-peak hours with minimal activity,False,0,False,Eco-Mode (No Booking),60,9.0,30.0,0.012
Conference Suite B - Slot 34,Meeting scheduled in calendar but attendees not present,True,22,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Central Hub - Slot 35,Regular working hours with standard occupancy,True,15,False,Maintain Normal Comfort,0,0.0,0.0,0.0
South Wing - Slot 36,Early morning setup before main occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Conference Suite B - Slot 37,Training session with full capacity expected,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Conference Suite A - Slot 38,Training session with full capacity expected,True,25,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Training Center - Slot 39,Post-meeting cleanup period,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Lobby Area - Slot 40,Off-peak hours with minimal activity,True,4,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Executive Floor - Slot 41,Standard office space with scheduled occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Conference Suite B - Slot 42,Regular working hours with standard occupancy,True,15,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Lobby Area - Slot 43,Regular working hours with standard occupancy,True,6,False,Maintain Normal Comfort,0,0.0,0.0,0.0
East Wing - Slot 44,Standard office space with scheduled occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Training Center - Slot 45,Training session with full capacity expected,True,35,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Training Center - Slot 46,Standard office space with scheduled occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Meeting Room 202 - Slot 47,Standard office space with scheduled occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
South Wing - Slot 48,Early morning setup before main occupancy,True,15,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Lobby Area - Slot 49,Regular working hours with standard occupancy,True,9,False,Maintain Normal Comfort,0,0.0,0.0,0.0
South Wing - Slot 50,Meeting scheduled in calendar but attendees not present,True,31,False,Maintain Normal Comfort,0,0.0,0.0,0.0
TOTAL,,,,,,,276.0,,0.368
